TRN DATE,TRN/TYPE AND DESCRIPTION,C/V/DATE,DEBIT,CREDIT,BALANCE
02/07/2025,"EFT - ISLAMI BANK BANGLADE, IBANKING,COMP. - NOT APPLICABLE TRXID.: 20250702-8-656966 EFTN 1",02/07/2025,,"55,000.00","827,589.00"
02/07/2025,"3669-909-0, NOAPARA BAZAR BRANCH(IQBAL) OL 1",02/07/2025,,"7,040.00","834,629.00"
02/07/2025,"4725-909-0, RAIPURA BRANCH (RATON) OL 1",02/07/2025,,"12,100.00","846,729.00"
02/07/2025,"PIAPP, OWN BANK ARIYAN POULTRY. A/C:360****811, M/S ARIYAN AND ARABIPOULTRY & FEED. Trx.ID 2025070202-2-770824",02/07/2025,,"18,000.00","864,729.00"
02/07/2025,"2133-909-0, MADABPASHA BRANCH (DELWAR)OL 1",02/07/2025,,"2,500.00","867,229.00"
02/07/2025,INTERBANK FUND TRANSFER ISLAMI BANKBANGLADESH LIMITED 20507770223082738 0,02/07/2025,,"18,000.00","885,229.00"
02/07/2025,"2576-901-14798 SIKDER POULTRY,NAYERGAON BAZAR BRANCH OL 1",02/07/2025,,"9,100.00","894,329.00"
02/07/2025,939-901-41774 KAZI FARMS LIMI OL 1,02/07/2025,,"125,000.00","1,019,329.00"
02/07/2025,"2340-901-9721 MAKKA MADINA AG,MADUNAGHAT BRANCH OL 1",02/07/2025,,"100,000.00","1,119,329.00"
02/07/2025,"1008-901-10378 RAHI POULTRY FE, TAJPURBRANCH (OL) OL 1",02/07/2025,,"29,700.00","1,149,029.00"
02/07/2025,"1613-909-0, GAIBANDHA BRANCH (AZAD) OL 1",02/07/2025,,"5,500.00","1,154,529.00"
02/07/2025,"4240-901-819 RUPALI POULTRY, RAJAR BAZAR BRANCH OL 1",02/07/2025,,"70,000.00","1,224,529.00"
02/07/2025,"1674-909-0, BABUGONJ BRANCH OL 1",02/07/2025,,"21,600.00","1,246,129.00"
02/07/2025,"4091-901-18297 M/S. ASA TRADER, NAVARAN BAZAR BRANCH OL 1",02/07/2025,,"50,000.00","1,296,129.00"
02/07/2025,"4924-901-1708 ANWAR POULTRY F, MONIRAMPUR BRANCH OL 1",02/07/2025,,"5,000.00","1,301,129.00"
02/07/2025,"4362-901-14288 M/S TALUKDER P, GALACHIPA BRANCH OL 1",02/07/2025,,"10,000.00","1,311,129.00"
02/07/2025,"4362-901-14288 M/S TALUKDER P, GALACHIPA BRANCH OL 1",02/07/2025,,"7,000.00","1,318,129.00"
02/07/2025,"1215-909-0, BHOLA BRANCH OL 1",02/07/2025,,"15,000.00","1,333,129.00"
02/07/2025,"626-909-0, SREEMONGAL BRANCH OL 1",02/07/2025,,"6,000.00","1,339,129.00"
02/07/2025,"4465-909-0, BHALUKA BRANCH OL 1",02/07/2025,,"115,400.00","1,454,529.00"
02/07/2025,"PIAPP, OWN BANK MAWA. A/C: 406*-***-***884, M/S MAWA POULTRY CHICKS & FEED CENTRE. Trx.ID 2025070202-2-835402 OL 1",02/07/2025,,"114,500.00","1,569,029.00"
02/07/2025,"PIAPP, OWN BANK BUSINESS, A/C: 329*-***-**384, M/S. SHAHADAT POULTRY FEEDS. Trx.ID 2025070202-2-836696 OL 1",02/07/2025,,"21,000.00","1,590,029.00"
02/07/2025,"2239-909-0, TEBUNIA BRANCH OL 1",02/07/2025,,"16,200.00","1,606,229.00"
02/07/2025,"4266-901-9717 M/S FAISAL POUL, PHULTALA BRANCH (CD 9717) OL 1",02/07/2025,,"2,440.00","1,608,669.00"
02/07/2025,"2672-901-21804 M/S. SATATA TRA, MOHADEVPUR BRANCH OL 1",02/07/2025,,"80,000.00","1,688,669.00"
02/07/2025,"4847-909-0, CHANDINA BRANCH OL 1",02/07/2025,,"22,000.00","1,710,669.00"
02/07/2025,"504-909-0, JAMALGONJ BRANCH (EMU TRADERS) OL 1",02/07/2025,,"4,600.00","1,715,269.00"
02/07/2025,"4940-901-7936 M/S TAHSIN TABA, KUMARKHALI BRANCH OL 1",02/07/2025,,"20,000.00","1,735,269.00"
02/07/2025,"4518-901-12024 HASANIA ENTERPR, CHUKNAGAR(RURAL BRANCH OL 1",02/07/2025,,"50,000.00","1,785,269.00"
02/07/2025,"4370-909-0, ALAMDANGA BRANCH OL 1",02/07/2025,,"45,000.00","1,830,269.00"
02/07/2025,"PIAPP, OWN BANK AIDEL. A/C: 265*-***-***866, BISHMILLAH POULTRY CHICKS & FEED. Trx.ID 2025070202-2-866657 OL 1",02/07/2025,,"80,000.00","1,910,269.00"
02/07/2025,"PIAPP, OWN BANK FOR CHICKS. A/C: 175*-***-**720, ANISHA POULTRY PRODUCT. Trx.ID 2025070202-2-866722 OL 1",02/07/2025,,"17,600.00","1,927,869.00"
02/07/2025,"4847-909-0, CHANDINA BRANCH OL 1",02/07/2025,,"40,000.00","1,967,869.00"
02/07/2025,"1181-901-15460 FULECHA POULTR, NABIGONJ BRANCH OL 1",02/07/2025,,"11,000.00","1,978,869.00"
02/07/2025,"1942-901-43161 M/S BHAI BHAI E, KHAGRACHARI BRANCH OL 1",02/07/2025,,"50,000.00","2,028,869.00"
02/07/2025,"PIAPP, OWN BANK MDANU. A/C: 352*-***-***197, M/S HALIMA POULTRY PRODUCT. Trx.ID 2025070202-2-876540 OL 1",02/07/2025,,"20,000.00","2,048,869.00"
02/07/2025,"PIAPP, OWN BANK FEED. A/C: 139*-***-***698, G. K. DAIRY & AGRO. Trx.ID 2025070202-2-880002 OL 1",02/07/2025,,"40,300.00","2,089,169.00"
02/07/2025,"PIAPP, OWN BANK SYLH087. A/C: 356*-***-***801, NAZAT AGRO. Trx.ID 2025070202-2-882729 OL 1",02/07/2025,,"11,000.00","2,100,169.00"
02/07/2025,"2178-901-17240 M/S AWUL POULTR, THAKURGAON ROAD BRANCH OL 1",02/07/2025,,"55,000.00","2,155,169.00"
02/07/2025,4924-901-12060 ALIF POULTRY & MONIRAMPUR BRANCH (CD-12060) OL 1,02/07/2025,,"30,000.00","2,185,169.00"
02/07/2025,"2178-901-17240 M/S AWUL POULTR, THAKURGAON ROAD BRANCH OL 1",02/07/2025,,"40,000.00","2,225,169.00"
02/07/2025,"4985-901-2093 M/S ANNYE ENTER, BHULTA BRANCH OL 1",02/07/2025,,"25,850.00","2,251,019.00"
02/07/2025,"PIAPP, OWN BANK A. A/C: 528*-***-***393, M/S SAGOR POULTRY FEED. Trx.ID 2025070202-2-896803 OL 1",02/07/2025,,"50,000.00","2,301,019.00"
02/07/2025,"4518-901-15577 M/S BISWAS POUL, CHUKNAGAR(RURAL BRANCH OL 1",02/07/2025,,"100,000.00","2,401,019.00"
02/07/2025,"PIAPP, OWN BANK BUSINESS. A/C: 469*-***-***956, M/S APON ENTERPRISE. Trx.ID 2025070202-2-903460 OL 1",02/07/2025,,"30,000.00","2,431,019.00"
02/07/2025,"2316-901-7550 SHAHIN POULTRY, PAGLA BAZAR BRANCH OL 1",02/07/2025,,"50,000.00","2,481,019.00"
02/07/2025,"581-901-35596 ALIM POULTRY FE, BHERAMARA BRANCH OL 1",02/07/2025,,"70,000.00","2,551,019.00"
02/07/2025,"4160-909-0, PANGSHA BRANCH OL 1",02/07/2025,,"20,000.00","2,571,019.00"
02/07/2025,"4197-901-1785 M/S KALLANY AGR, SITAKUNDA SME BRANCH OL 1",02/07/2025,,"20,000.00","2,591,019.00"
02/07/2025,"PIAPP, OWN BANK HABIB VARIETIES STO. A/C: 102*-***-***515, HABIB VARIETIES STORE. Trx.ID 2025070202-2-914406 OL 1",02/07/2025,,"30,000.00","2,621,019.00"
02/07/2025,"PIAPP, OWN BANK BHAI BHAI, A/C: 245*-***-***740, NEW BHAI BHAI ENTERPRISE. Trx.ID 2025070202-2-916496 OL 1",02/07/2025,,"100,000.00","2,721,019.00"
02/07/2025,"2263-901-14122 SARMI POULTRY F, SARATGONJ BRANCH OL 1",02/07/2025,,"20,000.00","2,741,019.00"
02/07/2025,"3590-901-5811 SYLHET POULTRY, KADAMTALI BRANCH (9073253) OL 1",02/07/2025,,"16,000.00","2,757,019.00"
02/07/2025,"PIAPP, OWN BANK NUR PTY CHIT209 CHICKS TK. A/C: 197*-***-***031, M/S NUR POULTRY FEED & CHICKS CENTER. Trx.ID 2025070202-2-939960 OL 1",02/07/2025,,"15,000.00","2,772,019.00"
02/07/2025,"PIAPP, OWN BANK BUSINESS. A/C: 149*-***-***783, M/S NURUL TRADERS. Trx.ID 2025070202-2-939960 OL 1",02/07/2025,,"4,000.00","2,776,019.00"
02/07/2025,"4725-901-7810 M/S FAHAD POULT, RAIPURA BRANCH OL 1",02/07/2025,,"24,200.00","2,800,219.00"
02/07/2025,"PIAPP, OWN BANK TRANSFER. A/C: 132*-***-***310, M/S FARUQUE TRADERS. Trx.ID 2025070202-2-946032 OL 1",02/07/2025,,"40,000.00","2,840,219.00"
02/07/2025,"PIAPP, OWN BANK KHUL022. A/C: 587*-***-***232, M/S S A INTERNATIONAL. Trx.ID 2025070202-2-967910 OL 1",02/07/2025,,"20,000.00","2,860,219.00"
02/07/2025,"1138-901-23943 M/S MA-MONI POU, KALAIYA BANDAR BRANCH OL 1",02/07/2025,,"40,000.00","2,900,219.00"
02/07/2025,"PIAPP, OWN BANK SAYFUL. A/C: 140*-***-730, MD SAYFUL ISLAM. Trx.ID 2025070202-2-972494 OL 1",02/07/2025,,"300,000.00","3,200,219.00"
02/07/2025,"PIAPP, OWN BANK ADNAN POULTRY. A/C: 118*-***-611, MD. ABUL HUSSAIN. Trx.ID 2025070202-2-974330 OL 1",02/07/2025,,"22,000.00","3,222,219.00"
02/07/2025,"PIAPP, OWN BANK CHICKS PAYMENT. A/C: 169*-***-716, M/S ALAK TRADERS. Trx.ID 2025070202-2-980887 OL 1",02/07/2025,,"30,000.00","3,252,219.00"
02/07/2025,"PIAPP, OWN BANK SAYFUL. A/C: 140*-***-730, MD SAYFUL ISLAM. Trx.ID 2025070202-2-984523 OL 1",02/07/2025,,"68,000.00","3,320,219.00"
02/07/2025,"748-901-12155 M/S FRESH CHICK, KASHIMPUR BRANCH OL 1",02/07/2025,,"1,983,960.00","5,304,179.00"
02/07/2025,CR SND 1159 T 11,02/07/2025,"5,300,000.00",,"4,179.00"
02/07/2025,"PIAPP, OWN BANK BUSNE. A/C: 463*-***-660, M/S MONNI POULTRY FEED & MEDICINE. Trx.ID 2025070202-2-999945 OL 1",02/07/2025,,"170,000.00","174,179.00"
02/07/2025,"PIAPP, OWN BANK 144. A/C: 372*-***-491, ZIHAD POULTRY & FISH FEED. Trx.ID 2025070202-2-1002978 OL 1",02/07/2025,,"50,000.00","224,179.00"
02/07/2025,"PIAPP, OWN BANK OJUDMIAH. A/C: 442*-***-859, M/S BHAI BHAI POULTRY COMPLEX. Trx.ID 2025070202-2-1011000 OL 1",02/07/2025,,"16,870.00","241,049.00"
02/07/2025,"PIAPP, OWN BANK CHICKS PAYMENT. A/C: 281*-***-207, M/S AYMONA POULTRY FEED & CHICKS. Trx.ID 2025070202-2-1233215 OL 1",02/07/2025,,"19,000.00","260,049.00"
02/07/2025,"PIAPP, OWN BANK ALOM42944. A/C: 372*-***-576, MASRURA POULTRY FEED. Trx.ID 2025070202-2-1243775 OL 1",02/07/2025,,"34,040.00","294,089.00"
02/07/2025,"PIAPP, OWN BANK COMI143. A/C: 484*-***-930, HENA AGRO. Trx.ID 2025070202-2-1245374 OL 1",02/07/2025,,"23,100.00","317,189.00"
02/07/2025,"PIAPP, OWN BANK BOILAR CHICKS. A/C: 463*-***-298, REKHA VETERINARY CORNER. Trx.ID 2025070202-2-1249153 OL 1",02/07/2025,,"39,000.00","356,189.00"
02/07/2025,"PIAPP, OWN BANK BACHA. A/C: 463*-***-813, M/S SHAH POULTRY FEED AND MEDICINE. Trx.ID 2025070202-2-1268901 OL 1",02/07/2025,,"200,000.00","556,189.00"
02/07/2025,"PIAPP, OWN BANK POULTRY. A/C: 472*-***-267, SHAHIN MIAH. Trx.ID 2025070202-2-1282228 OL 1",02/07/2025,,"23,300.00","579,489.00"
02/07/2025,"PIAPP, OWN BANK FEED. A/C: 253*-***-700, BATEN POULTRY. Trx.ID 2025070202-2-1282575 OL 1",02/07/2025,,"20,000.00","599,489.00"
02/07/2025,"PIAPP, OWN BANK LM 1000. A/C: 380*-***-137, A. F. FISH FEED AND GOAT FIRM. Trx.ID 2025070202-2-1323115 OL 1",02/07/2025,,"8,000.00","607,489.00"
03/07/2025,"PIAPP, OWN BANK BUSINESS. A/C: 041*-***-978, PRINCE AGRO. Trx.ID 2025070303-2-72591 OL 1",03/07/2025,,"30,000.00","637,489.00"
03/07/2025,"PIAPP, OWN BANK BUSINESS. A/C: 397*-***-467, M/S J R POULTRY FARM. Trx.ID 2025070303-2-78529 OL 1",03/07/2025,,"12,000.00","649,489.00"
03/07/2025,INTERBANK FUND TRANSFER IFIC BANK LIMITED 4169492035001 0,03/07/2025,,"31,560.00","681,049.00"
03/07/2025,"PIAPP, OWN BANK CKESS. A/C: 018*-***-291, BROTHERS ENTERPRISE. Trx.ID 2025070303-2-120674 OL 1",03/07/2025,,"20,000.00","701,049.00"
03/07/2025,4205-901-9547 20250703-278862-1 B 1,03/07/2025,,"6,300.00","707,349.00"
03/07/2025,"1475-909-0, HATIYA BRANCH (SHAMIM) OL 1",03/07/2025,,"50,000.00","757,349.00"
03/07/2025,"3669-909-0, NOAPARA BAZAR BRANCH (IQBAL) OL 1",03/07/2025,,"5,520.00","762,869.00"
03/07/2025,"PIAPP, OWN BANK SDFDD. A/C: 487*-***-***036, MAISHA POULTRY FEED. Trx.ID 2025070303-2-156751 OL 1",03/07/2025,,"110,000.00","872,869.00"
03/07/2025,"1621-909-0, NETROKONA BRANCH OL 1",03/07/2025,,"10,000.00","882,869.00"
03/07/2025,"4431-909-0, PATKELGHATA (RU BRANCH OL 1",03/07/2025,,"7,000.00","889,869.00"
03/07/2025,"3556-901-1940 DHAKA BREEDERS & HATCHERY, PRINCIPAL (ISLAMIC) BRANCH (TRF FRM 3556-901-1940) 939-901-41774 KAZI",03/07/2025,,"2,500,000.00","3,389,869.00"
03/07/2025,"PIAPP, OWN BANK CHICKS. A/C: 326*-***-***067, M/S KHOKON TRADERS. Trx.ID 2025070303-2-178467 OL 1",03/07/2025,,"9,600.00","3,399,469.00"
03/07/2025,"581-102-750 OBONI POULTRY F, BHERAMARA BRANCH (TARAGUNIA) OL 1",03/07/2025,,"100,000.00","3,499,469.00"
03/07/2025,"618-909-0, MATLAB BAZAR BRANCH OL 1",03/07/2025,,"6,600.00","3,506,069.00"
03/07/2025,"PIAPP, OWN BANK BROILER A4000 B4500. A/C: 348*-***-***329, RUPOSHI AGRO FARM. Trx.ID 2025070303-2-202511 OL 1",03/07/2025,,"71,000.00","3,577,069.00"
03/07/2025,"4993-909-0, BSCIC BRANCH OL 1",03/07/2025,,"10,000.00","3,587,069.00"
03/07/2025,"4656-901-10722 BISWAS POULTRY, TARKI BANDAR BRANCH OL 1",03/07/2025,,"30,000.00","3,617,069.00"
03/07/2025,INTERBANK FUND TRANSFER DUTCH-BANGLA BANK LIMITED 1601580028911 0,03/07/2025,,"37,400.00","3,654,469.00"
03/07/2025,"860-901-48176 M/S AKON POULTR, PATUAKHALI BRANCH (CD-48176) OL 1",03/07/2025,,"100,000.00","3,754,469.00"
03/07/2025,"PIAPP, OWN BANK NIJAM. A/C: 192*-***-***434, JANNAT POULTRY FEED & CHICKS CENTER. Trx.ID 2025070303-2-218622 OL 1",03/07/2025,,"30,000.00","3,784,469.00"
03/07/2025,"114-901-61169 M/S M R ENTERPR, SIRAJGONJ BRANCH OL 1",03/07/2025,,"40,000.00","3,824,469.00"
03/07/2025,"PIAPP, OWN BANK TRANSFAR. A/C: 309*-***-***836, HASIN TRADERS. Trx.ID 2025070303-2-232908 OL 1",03/07/2025,,"29,700.00","3,854,169.00"
03/07/2025,"PIAPP, OWN BANK BUSINESS. A/C: 494*-***-***134, M/S SAIRA ENTERPRISE. Trx.ID 2025070303-2-243522 OL 1",03/07/2025,,"50,000.00","3,904,169.00"
03/07/2025,939-901-41774 KAZI FARMS LIMI OL 1,03/07/2025,,"6,600.00","3,910,769.00"
03/07/2025,"4171-901-6526 M/S EASIN ENTER, MATHBARIA BRANCH (CD-6526) OL 1",03/07/2025,,"29,000.00","3,939,769.00"
03/07/2025,"443-102-746 M/S MOHESHKHALI, MOHESHKHALI BRANCH (SND-746) OL 1",03/07/2025,,"40,500.00","3,980,269.00"
03/07/2025,"PIAPP, OWN BANK MIM POULTRY CORNER CHICKS DEPOSIT. A/C: 158*-***-***244, M/S MIM POULTRY CORNER. Trx.ID 2025070303-2",03/07/2025,,"40,000.00","4,020,269.00"
03/07/2025,"PIAPP, OWN BANK MAYER DOA POULTRY PATU015. A/C: 507*-***-***206, M/S MAYER DOA POULTRY AND FISH FEED. Trx.ID 2025070303-2",03/07/2025,,"38,000.00","4,058,269.00"
03/07/2025,"520-901-25979 M/S NAZMIN POUL, CHHATAK BRANCH OL 1",03/07/2025,,"11,000.00","4,069,269.00"
03/07/2025,"5211-909-0, CHAPRASHIRHAT BRANCH OL 1",03/07/2025,,"33,000.00","4,102,269.00"
03/07/2025,"PIAPP, OWN BANK MALEK SHA PTY. A/C: 406*-***-***280, HAZRAT MALEK SHAH (R) POULTRY FEEDS AND CHICKS CENTER. Trx.ID",03/07/2025,,"22,000.00","4,124,269.00"
03/07/2025,"3112-901-33874 M/S TUHIN POULT, FULBARI BRANCH (FUND TRANSFER) OL 1",03/07/2025,,"30,000.00","4,154,269.00"
03/07/2025,"PIAPP, OWN BANK BUSINESS PURPOSE, A/C: 153*---***976, TAREQ POULTRY FIRM AND FEED. Trx.ID 2025070303-2-279076 OL 1",03/07/2025,,"13,380.00","4,167,649.00"
03/07/2025,"4075-901-4303 M/S RAHIM ENTER, NANDINA BAZAR BRANCH OL 1",03/07/2025,,"20,000.00","4,187,649.00"
03/07/2025,"4362-901-14288 M/S TALUKDER P, GALACHIPA BRANCH OL 1",03/07/2025,,"50,000.00","4,237,649.00"
03/07/2025,"2791-901-38219 BANDARBAN POULT, BANDARBAN BRANCH OL 1",03/07/2025,,"7,000.00","4,244,649.00"
03/07/2025,"4542-901-13250 M/S TALUKDER EN, MOHANGANJ BRANCH OL 1",03/07/2025,,"100,000.00","4,344,649.00"
03/07/2025,"1613-909-0, GAIBANDHA BRANCH (AZAD) OL 1",03/07/2025,,"5,000.00","4,349,649.00"
03/07/2025,"2178-901-17240 M/S AWUL POULTR, THAKURGAON ROAD BRANCH OL 1",03/07/2025,,"50,000.00","4,399,649.00"
03/07/2025,"313-909-0, MYMENSINGH MAIN BRANCH OL 1",03/07/2025,,"45,000.00","4,444,649.00"
03/07/2025,"5280-901-393 M/S SAGOR POLTR, BORHANUDDIN BRANCH OL 1",03/07/2025,,"30,000.00","4,474,649.00"
03/07/2025,"2308-901-3220 ANWAR POULTRY A, CHHAGALNAIYA BRANCH OL 1",03/07/2025,,"200,000.00","4,674,649.00"
03/07/2025,"PIAPP, OWN BANK FOUR THOUSAND TOUR HUNDRED. A/C: 372*---***000, BOSHRA POULTRY AND FISH FEED. Trx.ID 2025070303-",03/07/2025,,"4,400.00","4,679,049.00"
03/07/2025,"2340-901-9721 MAKKA MADINA AG, MADUNAGHAT BRANCH OL 1",03/07/2025,,"100,000.00","4,779,049.00"
03/07/2025,"PIAPP, OWN BANK DDDDD. A/C: 487*---***036, MAISHA POULTRY FEED. Trx.ID 2025070303-2-361845 OL 1",03/07/2025,,"22,500.00","4,801,549.00"
03/07/2025,"PIAPP, OWN BANK MODENA POLTE. A/C: 370*---***576, MODINA POULTRY FEEDS. Trx.ID 2025070303-2-365419 OL 1",03/07/2025,,"100,000.00","4,901,549.00"
03/07/2025,"2247-901-3516 G. S. POULTRY F, NANUPUR BRANCH (01819-170461) OL 1",03/07/2025,,"10,000.00","4,911,549.00"
03/07/2025,"1900-901-40773 M/S TUHIN TRADE, GOPALGONJ BRANCH (FROM CD-40773) OL 1",03/07/2025,,"60,000.00","4,971,549.00"
03/07/2025,"PIAPP, OWN BANK MA BABAR DOA POULTRY JAMAL PUR NANDI. A/C: 407*---***421, MA BABAR DOWA POULTRY & FISH FEED. Trx.ID",03/07/2025,,"100,000.00","5,071,549.00"
03/07/2025,"PIAPP, OWN BANK KZAFBJJ. A/C: 389*---***337, SHAHJALAL PROTEIN HOUSE & MEDICINE. Trx.ID 2025070303-2-406442 OL 1",03/07/2025,,"6,160.00","5,077,709.00"
03/07/2025,"756-901-42585 M/S SIRAJ TRADE, RANGAMATI BRANCH (0756 901 42585) OL 1",03/07/2025,,"230,000.00","5,307,709.00"
03/07/2025,"114-901-61290 M/S SHARKAR POU, SIRAJGONJ BRANCH OL 1",03/07/2025,,"105,000.00","5,412,709.00"
03/07/2025,"PIAPP, OWN BANK BUSINESS. A/C: 118*---***476, SHIHAB POULTRY FARM. Trx.ID 2025070303-2-417918 OL 1",03/07/2025,,"70,000.00","5,482,709.00"
03/07/2025,"2454-909-0, BAZAR ROAD BRANCH (NAIM) OL 1",03/07/2025,,"50,000.00","5,532,709.00"
03/07/2025,"PIAPP, OWN BANK NUR PTY CHIT209 CHICKS TK. A/C: 197*---***031, M/S NUR POULTRY FEED & CHICKS CENTER. Trx.ID 2025070303-2-",03/07/2025,,"12,100.00","5,544,809.00"
03/07/2025,CR SND 1159 T 11,03/07/2025,"5,539,000.00",,"5,809.00"
03/07/2025,"PIAPP, OWN BANK AL MODINA HARTA. A/C: 245*""***""*192, AL MODINA FISH AND POULTRY FARM. Trx.ID 2025070303-2-442431",03/07/2025,,"50,000.00","55,809.00"
03/07/2025,"PIAPP, OWN BANK CHICKS PAYMENT. A/C: 169*""***""*716, M/S ALAK TRADERS. Trx.ID 2025070303-2-448988 OL 1",03/07/2025,,"9,900.00","65,709.00"
03/07/2025,"EFT - ISLAMI BANK BANGLADE, IBANKING, COMP. - NOTAPPLICABLE TRXID.: 20250703-8-480723 EFTN 1",03/07/2025,,"8,320.00","74,029.00"
03/07/2025,"PIAPP, OWN BANK KAZI FARMS LIMITED. A/C: 102*""***""*751, SATATA POULTRY PRODUCTS. Trx.ID 2025070303-2-494223 OL 1",03/07/2025,,"8,800.00","82,829.00"
03/07/2025,"PIAPP, OWN BANK BOILAR CHICKS. A/C: 463*""**""*298, REKHA VETERINARY CORNER. Trx.ID 2025070303-2-523257 OL 1",03/07/2025,,"18,000.00","100,829.00"
03/07/2025,"PIAPP, OWN BANK ALOM42944. A/C: 372*""***""*576, MASRURA POULTRY FEED. Trx.ID 2025070303-2-530832 OL 1",03/07/2025,,"8,140.00","108,969.00"
03/07/2025,INTERBANK FUND TRANSFER IFIC BANK LIMITED 0220336710811 0,03/07/2025,,"17,600.00","126,569.00"
03/07/2025,"PIAPP, OWN BANK 144. A/C: 372*""***""*491, ZIHAD POULTRY & FISH FEED. Trx.ID 2025070303-2-597158 OL 1",03/07/2025,,"15,000.00","141,569.00"
03/07/2025,"PIAPP, OWN BANK CHICK PURCHESS. A/C: 473*""***""*437, M/S HOWLADAR POULTRY FEEDS. Trx.ID 2025070303-2-616162 OL 1",03/07/2025,,"30,240.00","171,809.00"
03/07/2025,"PIAPP, OWN BANK AIDEL. A/C: 265*""***""*866, BISHMILLAH POULTRY CHICKS & FEED. Trx.ID 2025070303-2-677805 OL 1",03/07/2025,,"40,000.00","211,809.00"
03/07/2025,"PIAPP, OWN BANK FOR CHICKS. A/C: 175*""***""*720, ANISHA POULTRY PRODUCT. Trx.ID 2025070303-2-707433 OL 1",03/07/2025,,"10,450.00","222,259.00"
05/07/2025,INTERBANK FUND TRANSFER IFIC BANK LIMITED 0220336710811 0,05/07/2025,,"49,400.00","271,659.00"
05/07/2025,"PIAPP, OWN BANK KAZI. A/C: 194*""***""*238, M/S. BACCHU MIA SALES CENTRE. Trx.ID 2025070505-2-700002 OL 1",05/07/2025,,"70,000.00","341,659.00"
05/07/2025,"PIAPP, OWN BANK FOR CHICKS. A/C: 175*""***""*720, ANISHA POULTRY PRODUCT. Trx.ID 2025070505-2-727393 OL 1",05/07/2025,,"48,000.00","389,659.00"
05/07/2025,"PIAPP, OWN BANK BUSINESS. A/C: 149*""***""*010, M/S NURUL TRADERS. Trx.ID 2025070505-2-744157 OL 1",05/07/2025,,"10,500.00","400,159.00"
05/07/2025,"PIAPP, OWN BANK CHICKS PAYMENT. A/C: 049*""***""*957, AL KARIM POULTRY PRODUCTS. Trx.ID 2025070505-2-745705 OL 1",05/07/2025,,"28,800.00","428,959.00"
05/07/2025,"PIAPP, OWN BANK CHICKS PAYMENT. A/C: 169*""***""*716, M/S ALAK TRADERS. Trx.ID 2025070505-2-748216 OL 1",05/07/2025,,"28,800.00","457,759.00"
05/07/2025,"PIAPP, OWN BANK MANIK. A/C: 196*""***""*889, GRAM BANGLA POULTRY FEED & FISH FEED. Trx.ID 2025070505-2-761206 OL 1",05/07/2025,,"60,800.00","518,559.00"
05/07/2025,"PIAPP, OWN BANK ISLAMIC PULTY FEED. A/C: 465*""***""*776, ISLAMIC POULTRY FEED. Trx.ID 2025070505-2-762478 OL 1",05/07/2025,,"11,000.00","529,559.00"
05/07/2025,"PIAPP, OWN BANK ADNAN POULTRY. A/C: 118*""***""*611, MD. ABUL HUSSAIN. Trx.ID 2025070505-2-766858 OL 1",05/07/2025,,"44,800.00","574,359.00"
